,band_singer,ranking,song,title,genre,year,active_years
5316,Flo Rida,16,Good Feeling,Good Feeling,"['Hip house', 'Eurodance', 'complextro']",2012,2000–present
5317,Flo Rida,17,Whistle,Whistle,"['Electropop', 'dirty rap']",2012,2000–present
5318,Maroon 5,18,One More Night,One More Night,['Pop'],2012,1994–present
5319,Train,19,Drive By,Drive By,['Pop rock'],2012,1993–present
5320,Drake,20,The Motto,The Motto,['Hip hop'],2012,2001–present 1995–present
5321,Rihanna,21,Where Have You Been,Where Have You Been,['Electro housetrancetechno'],2012,2003–present
5322,Neon Trees,22,Everybody Talks,Everybody Talks,"['Pop rock', 'power pop']",2012,2005–present
5323,Drake,23,Take Care,Take Care,['Club'],2012,2001–present 2003–present
5324,David Guetta,24,Titanium,Titanium,"['House', 'dance']",2012,1986–present 1995–present
5325,Jason Mraz,25,"[""I Won't Give Up""]",I Won't Give Up,['Folk bluespop'],2012,1999–present
5326,Bruno Mars,26,It Will Rain,It Will Rain,"['Pop', 'pop-soul']",2012,2004–present
5327,Kanye West,27,Mercy,Mercy,"['Hip hop', 'trap']",2012,1996–present 2007–present 1993–present 1997–present
5328,Justin Bieber,28,Boyfriend,Boyfriend,"['R&B', 'Soul-pop', 'Hip hop', 'folk-pop']",2012,2007–present
5329,LMFAO,29,Party Rock Anthem,Party Rock Anthem,"['Electropop', 'dance-pop', 'electro', 'electroclash', 'synth-pop', 'EDM']",2012,2006–2012 2007–present 2009–present
5330,Alex Clare,30,Too Close,Too Close,"['R&B', 'Dubstep']",2012,2007–present
5331,Katy Perry,31,Part of Me,Part of Me,['Dance-poppower pop'],2012,2001–present
5332,Snoop Dogg,32,"Young, Wild & Free","Young, Wild & Free",['Pop-rap'],2012,1992–present 2005–present 2004–present
5333,Taylor Swift,33,We Are Never Ever Getting Back Together,We Are Never Ever Getting Back Together,"['Pop', 'pop rock', 'electro-folk']",2012,2004–present
5334,Justin Bieber,34,As Long as You Love Me,As Long as You Love Me,['Electropop'],2012,2007–present 2007–present
5335,David Guetta,35,Turn Me On,Turn Me On,['EDM'],2012,1986–present 2004–present
5336,Maroon 5,36,Moves like Jagger,Moves like Jagger,"['Nu-disco', 'electropop']",2012,1994–present 1993–present
5337,Pink,37,Blow Me (One Last Kiss),Blow Me (One Last Kiss),"['Electropop', 'pop rock']",2012,1995–present
5338,Owl City,38,Good Time,Good Time,['Dance-pop'],2012,2007–present 2007–present
5339,Demi Lovato,39,Give Your Heart a Break,Give Your Heart a Break,"['Pop', 'R&B']",2012,2002–present
5340,Jay-Z,40,Niggas in Paris,Niggas in Paris,['Hip hop'],2012,1986–present 1996–present
5341,Katy Perry,41,The One That Got Away,The One That Got Away,['Pop'],2012,2001–present
5342,Calvin Harris,42,Feel So Close,Feel So Close,['Electro housedance-pop'],2012,2002–present
5343,Adele,43,Someone like You,Someone like You,['Pop'],2012,2006–present
5344,Usher,44,Scream,Scream,"['Techno-pop', 'dance-pop', 'EDM']",2012,1993–present
5345,Tyga,45,Rack City,Rack City,['Hip hop'],2012,2004–present
5346,Jessie J,46,Domino,Domino,"['Electropop', 'dance-pop', 'pop rock']",2012,2005–present
5347,Psy,47,Gangnam Style,Gangnam Style,"['K-pop', 'dance-pop', 'EDM']",2012,1999–present
5348,Pitbull,48,International Love,International Love,"['Dance-pop', 'electropop', 'pop-rap']",2012,2000–present 2002–present
5349,Phillip Phillips,49,Home,Home,['Folk rock'],2012,2012–present
5350,David Guetta,50,Without You,Without You,[],2012,1986–present 1993–present
5351,Gym Class Heroes,51,Ass Back Home,Ass Back Home,['Pop-rap'],2012,1997–2012 2018–2019 2023 2006–present
5352,Hunter Hayes,52,Wanted,Wanted,['Countrycountry pop'],2012,1993–present
5353,Luke Bryan,53,Drunk on You,Drunk on You,['Country'],2012,1996–present
5354,2 Chainz,54,No Lie,No Lie,['Hip hoptrap'],2012,1997–present 2001–present
5355,Cher Lloyd,55,Want U Back,Want U Back,"['Pop', 'bubblegum pop']",2012,2010–present
5356,Chris Brown,56,"[""Don't Wake Me Up""]",Don't Wake Me Up,"['Dance-pop', 'EDM']",2012,2002–present
5357,Big Sean,57,Dance (A$$),Dance (A$$),['Hip hop'],2012,2007–present 2004–present
5358,Eric Church,58,Springsteen,Springsteen,['Countryheartland rock'],2012,2005–present
5359,Karmin,59,Brokenhearted,Brokenhearted,"['Dance-pop', 'pop rock', 'hip hop']",2012,2010–2017
5360,Gavin DeGraw,60,Not Over You,Not Over You,['Pop rockblue-eyed soul'],2012,1998–present
5361,Gym Class Heroes,61,Stereo Hearts,Stereo Hearts,[],2012,1994–present
5362,Pitbull,62,Back in Time,Back in Time,['Dance'],2012,2000–present
5363,J. Cole,63,Work Out,Work Out,['Hip hopR&B'],2012,2007–present
5364,Adele,64,Rumour Has It,Rumour Has It,['Bluespopjazz'],2012,2006–present
5365,Calvin Harris,65,"[""Let's Go""]",Let's Go,[],2012,2002–present 1998–present
5366,Carrie Underwood,66,Good Girl,Good Girl,['Country rock'],2012,2005–present
5367,Little Big Town,67,Pontoon,Pontoon,['Country'],2012,1998–present
5368,The Lumineers,68,Ho Hey,Ho Hey,"['Folk rock', '']",2012,2005–present
5369,Coldplay,69,Paradise,Paradise,['R&B'],2012,1997–present
5370,Carrie Underwood,70,Blown Away,Blown Away,['Country pop'],2012,2005–present
5371,Adele,71,Rolling in the Deep,Rolling in the Deep,['Rhythm and bluessoul'],2012,2006–present
5372,Usher,72,Climax,Climax,"['Quiet storm', 'electronic', 'alternative R&B']",2012,1993–present
5373,Wiz Khalifa,73,"Work Hard, Play Hard","Work Hard, Play Hard",['Hip hop'],2012,2005–present
5374,Ne-Yo,74,Let Me Love You (Until You Learn to Love Yourself),Let Me Love You (Until You Learn to Love Yourself),['Europopdance-popsynth-pop'],2012,1998–present
5375,Nicki Minaj,75,Pound the Alarm,Pound the Alarm,['Eurodance'],2012,2004–present
5376,Kenny Chesney,76,Come Over,Come Over,['Country'],2012,1988–present
5377,Trey Songz,77,Heart Attack,Heart Attack,"['R&B', 'electropop']",2012,2003–present
5378,Kirko Bangz,78,Drank in My Cup,Drank in My Cup,"['Pop-rap', 'chopped and screwed']",2012,2009–present
5379,Rihanna,79,Birthday Cake,Birthday Cake,['R&B'],2012,2003–present 2002–present
5380,B.o.B,80,So Good,So Good,['Pop-rap'],2012,2006–present
5381,Train,81,50 Ways to Say Goodbye,50 Ways to Say Goodbye,"['Pop rock', 'folk rock', 'indie pop']",2012,1993–present
5382,Toby Keith,82,Red Solo Cup,Red Solo Cup,"['Country', 'comedy', 'country rap']",2012,1993–present
5383,Selena Gomez & the Scene,83,Love You like a Love Song,Love You like a Love Song,['Electropopdance-pop'],2012,2008–2012
5384,Chris Brown,84,Turn Up the Music,Turn Up the Music,['Electro house'],2012,2002–present
5385,Kesha,85,Die Young,Die Young,['Electropopdance-pop'],2012,2005–present
5386,T-Pain,86,"[""5 O'Clock""]",5 O'Clock,['Hip hopR&B'],2012,1999–present 2005–present 1998–present
5387,Christina Perri,87,A Thousand Years,A Thousand Years,[],2012,
5388,Jason Aldean,88,Take a Little Ride,Take a Little Ride,['Country'],2012,1998–present
5389,Rihanna,89,You da One,You da One,"['Pop', 'reggae']",2012,2003–present
5390,Havana Brown,90,We Run the Night,We Run the Night,['Dance-popEurodance'],2012,2008–present 2000–present
5391,Imagine Dragons,91,"[""It's Time""]",It's Time,"['Alternative rock', 'indie rock']",2012,2008–present
5392,Cash Out,92,"[""Cashin' Out""]",Cashin' Out,['Hip hop'],2012,2008–present
5393,Luke Bryan,93,"[""I Don't Want This Night to End""]",I Don't Want This Night to End,['Country'],2012,1996–present
5394,Rihanna,94,Diamonds,Diamonds,"['Pop', 'electronic', 'R&B']",2012,2003–present
5395,Lee Brice,95,Hard to Love,Hard to Love,['Country'],2012,2007–present
5396,Kip Moore,96, ,Somethin' 'Bout a Truck,"['Country', 'country rock']",2012,2008–present
5397,Miguel,97,Adorn,Adorn,['R&B'],2012,2000–present
5398,Jason Aldean,98,Fly Over States,Fly Over States,['Country'],2012,1998–present
5399,Eli Young Band,99,Even If It Breaks Your Heart,Even If It Breaks Your Heart,['Country'],2012,2000–present
5400,Linkin Park,100,Burn It Down,Burn It Down,"['Electronic rock', 'rap rock', 'hard rock', 'alternative rock', 'alternative pop', 'electropop']",2012,1996–2017
5401,Macklemore & Ryan Lewis,1,Thrift Shop,Thrift Shop,"['Pop-rap', 'comedy hip hop']",2013,2009–2016 1980–present
5402,Robin Thicke,2,Blurred Lines,Blurred Lines,['R&Bpopfunk'],2013,1994–present 1999–present 1990–present
5403,Imagine Dragons,3,Radioactive,Radioactive,"['Electronic rock', 'alternative rock']",2013,2008–present
5404,Baauer,4,Harlem Shake,Harlem Shake,['Basship hoptrapelectropop'],2013,2011–present
5405,Macklemore & Ryan Lewis,5,"[""Can't Hold Us""]",Can't Hold Us,[],2013,2009–2016 2009–present
5406,Justin Timberlake,6,Mirrors,Mirrors,"['Pop', 'R&B', 'progressive soul']",2013,1992–present
5407,Pink,7,Just Give Me a Reason,Just Give Me a Reason,['Pop'],2013,1995–present 2000–present
5408,Bruno Mars,8,When I Was Your Man,When I Was Your Man,['Pop'],2013,2004–present
5409,Florida Georgia Line,9,Cruise,Cruise,"['Bro-country (original version)', 'country rap (remix version)', 'country pop (remix version)']",2013,2010 1993–present
5410,Katy Perry,10,Roar,Roar,['Power pop'],2013,2001–present
5411,Bruno Mars,11,Locked Out of Heaven,Locked Out of Heaven,"['Reggae rock', 'pop rock']",2013,2004–present
5412,The Lumineers,12,Ho Hey,Ho Hey,"['Folk rock', '']",2013,2005–present
5413,Rihanna,13,Stay,Stay,"['Pop', 'R&B']",2013,2003–present 2008–present
5414,Daft Punk,14,Get Lucky,Get Lucky,"['Disco', 'funk', 'pop']",2013,1993–2021 1990–present
5415,Lorde,15,Royals,Royals,"['Art pop', 'electropop']",2013,2009–present
5416,Taylor Swift,16,I Knew You Were Trouble,I Knew You Were Trouble,"['Dance-pop', 'pop rock', 'teen pop', 'dubstep']",2013,2004–present
5417,Miley Cyrus,17,"[""We Can't Stop""]",We Can't Stop,"['Pop', 'R&B', 'electropop']",2013,2001–present
5418,Miley Cyrus,18,Wrecking Ball,Wrecking Ball,['Pop'],2013,2001–present
5419,Avicii,19,Wake Me Up,Wake Me Up,"['Folktronica', 'country', 'house']",2013,2006–2018
5420,Justin Timberlake,20,Suit & Tie,Suit & Tie,['R&B'],2013,1992–present 1986–present
5421,Anna Kendrick,21,[None],None,['Folk pop'],2013,1998–present
5422,Jay-Z,22,Holy Grail,Holy Grail,[],2013,1986–present 1992–present
5423,will.i.am,23,Scream & Shout,Scream & Shout,['Dance-pop'],2013,1988–present 1992–present
5424,Zedd,24,Clarity,Clarity,['Progressive house'],2013,2002–present 2011–present
5425,Awolnation,25,Sail,Sail,"['Electronic rock', 'alternative rock', 'industrial rock', 'electropop']",2013,2009–present
5426,Swedish House Mafia,26,"[""Don't You Worry Child""]",Don't You Worry Child,['Progressive house'],2013,2008–2013 2018–present 2010–present
5427,Rihanna,27,Diamonds,Diamonds,"['Pop', 'electronic', 'R&B']",2013,2003–present
5428,Icona Pop,28,I Love It,I Love It,"['Electropop', 'dance-pop']",2013,2009–present 2008–present
5429,Capital Cities,29,Safe and Sound,Safe and Sound,"['Synth-pop', 'dance-pop', 'alternative rock']",2013,2008–present
5430,Bruno Mars,30,Treasure,Treasure,"['Disco', 'funk-pop', 'soul', 'synth-pop']",2013,2004–present
5431,Ariana Grande,31,The Way,The Way,"['R&B', 'hip hop soul', 'hip hop', 'pop']",2013,2008–present 2007–2018
5432,Drake,32,Started from the Bottom,Started from the Bottom,['Hip hopprogressive rap'],2013,2001–present
5433,Selena Gomez,33,Come & Get It,Come & Get It,"['Electropop', 'bhangra', 'dance-pop']",2013,2002–present
5434,Drake,34,"[""Hold On, We're Going Home""]","Hold On, We're Going Home","['R&B', 'synth-pop', 'disco']",2013,2001–present 2011–present
5435,Maroon 5,35,Daylight,Daylight,['Soft rock'],2013,1994–present
5436,Pitbull,36,Feel This Moment,Feel This Moment,['Dance-pop'],2013,2000–present 1993–present
5437,Lady Gaga,37,Applause,Applause,"['Electropop', 'dance-pop', 'Eurodance']",2013,2001–present
5438,Maroon 5,38,One More Night,One More Night,['Pop'],2013,1994–present
5439,Lil Wayne,39,Love Me,Love Me,['Dirty rap'],2013,1995–present 2001–present 2011-present
5440,Fall Out Boy,40,My Songs Know What You Did in the Dark (Light Em Up),My Songs Know What You Did in the Dark (Light Em Up),"['Pop rock', 'pop']",2013,2001–2009 2013–present
5441,ASAP Rocky,41,"[""Fuckin' Problems""]",Fuckin' Problems,"['Hip hop', 'dirty rap']",2013,2007–present 2001–present 1997–present 2003–present
5442,Justin Bieber,42,Beauty and a Beat,Beauty and a Beat,['EDMelectropop'],2013,2007–present 2004–present
5443,Macklemore & Ryan Lewis,43,Same Love,Same Love,"['Conscious hip hop', 'political hip hop']",2013,2009–2016 2011–present
5444,Calvin Harris,44,Sweet Nothing,Sweet Nothing,['EDM'],2013,2002–present 2006–present
5445,Lana Del Rey,45,Summertime Sadness,Summertime Sadness,"['Pop', 'trip hop']",2013,2005–present
5446,Phillip Phillips,46,Home,Home,['Folk rock'],2013,2012–present
5447,Imagine Dragons,47,"[""It's Time""]",It's Time,"['Alternative rock', 'indie rock']",2013,2008–present
5448,J. Cole,48,Power Trip,Power Trip,"['Hip hop', 'R&B']",2013,2007–present 2000–present
5449,Alicia Keys,49,Girl on Fire,Girl on Fire,['R&B'],2013,1993–present 2004–present
5450,Demi Lovato,50,Heart Attack,Heart Attack,['Electropoppower pop'],2013,2002–present
5451,Maroon 5,51,Love Somebody,Love Somebody,['Dance-pop'],2013,1994–present
5452,Mumford & Sons,52,I Will Wait,I Will Wait,['Indie folkfolk rockbluegrass'],2013,2007–present
5453,Pink,53,Try,Try,['Pop rock'],2013,1995–present
5454,Darius Rucker,54,Wagon Wheel,Wagon Wheel,[],2013,1986–present
5455,Psy,55,Gangnam Style,Gangnam Style,"['K-pop', 'dance-pop', 'EDM']",2013,1999–present
5456,Calvin Harris,56,I Need Your Love,I Need Your Love,['EDM'],2013,2002–present 2009–present
5457,Kesha,57,Die Young,Die Young,['Electropopdance-pop'],2013,2005–present
5458,Fun,58,Some Nights,Some Nights,['Alternative rock'],2013,2008–2015
5459,Wale,59,Bad,Bad,['Hip hopR&B'],2013,2005–present 2009–present 2003–present
5460,Blake Shelton,60,"[""Boys 'Round Here""]",Boys 'Round Here,['Bro-country'],2013,2001–present 2011–2013 2017–present
5461,Phillip Phillips,61,"Gone, Gone, Gone","Gone, Gone, Gone",['Pop rockfolk rock'],2013,2012–present
5462,Imagine Dragons,62,Demons,Demons,['Pop rock'],2013,2008–present
5463,OneRepublic,63,Counting Stars,Counting Stars,"['Folk-pop', 'pop rock', 'dance-pop']",2013,2002–present
5464,Flo Rida,64,I Cry,I Cry,[],2013,2000–present
5465,Of Monsters and Men,65,Little Talks,Little Talks,"['Indie folk', 'alternative rock']",2013,2010–present
5466,Jason Derulo,66,The Other Side,The Other Side,['Dance-popEDM'],2013,2006–present
5467,Eminem,67,Berzerk,Berzerk,['Rap rock'],2013,1988–present
5468,Kelly Clarkson,68,Catch My Breath,Catch My Breath,['Electropop'],2013,2000–present
5469,Luke Bryan,69,Crash My Party,Crash My Party,['Country pop'],2013,1996–present
5470,Rihanna,70,Pour It Up,Pour It Up,"['Club', 'trap', 'R&B']",2013,2003–present
5471,Taylor Swift,71,22,22,"['Pop', 'disco', 'rock']",2013,2004–present
5472,Hunter Hayes,72,I Want Crazy,I Want Crazy,['Country'],2013,1993–present
5473,Ylvis,73,The Fox (What Does the Fox Say?),The Fox (What Does the Fox Say?),"['electro', 'electroclash', 'techno', 'dubstep', 'novelty', 'electropop', 'dance-pop', 'synth-pop']",2013,2000–present
5474,One Direction,74,Best Song Ever,Best Song Ever,['Pop rock'],2013,2010–2016
5475,Ed Sheeran,75,The A Team,The A Team,['Folk'],2013,2004–present
5476,Fun,76,Carry On,Carry On,[],2013,2008–2015
5477,Tim McGraw,77,"[""Highway Don't Care""]",Highway Don't Care,['Country'],2013,1990–present 2004–present 1990–present
5478,Luke Bryan,78,"[""That's My Kind of Night""]",That's My Kind of Night,"['Country pop', 'country rock']",2013,1996–present
5479,Kendrick Lamar,79,Swimming Pools (Drank),Swimming Pools (Drank),['Hip hop'],2013,2003–present
5480,Blake Shelton,80,Sure Be Cool If You Did,Sure Be Cool If You Did,['Country'],2013,2001–present
5481,Mariah Carey,81,#Beautiful,#Beautiful,"['Pop', 'soul', 'R&B']",2013,1988–present 2000–present
5482,Olly Murs,82,Troublemaker,Troublemaker,['Pop'],2013,2007–present 2000–present
5483,Ciara,83,Body Party,Body Party,['R&B'],2013,2003–present
5484,Miguel,84,Adorn,Adorn,['R&B'],2013,2000–present
5485,The Script,85,Hall of Fame,Hall of Fame,[],2013,2001–present 1988–present
5486,Ne-Yo,86,Let Me Love You (Until You Learn to Love Yourself),Let Me Love You (Until You Learn to Love Yourself),['Europopdance-popsynth-pop'],2013,1998–present
5487,Rocko,87,U.O.E.N.O.,U.O.E.N.O.,['Hip hop'],2013,1999–present 2011-present 2000–present
5488,Emeli Sandé,88,Next to Me,Next to Me,['Gospel'],2013,2008–present
5489,Miranda Lambert,89,"[""Mama's Broken Heart""]",Mama's Broken Heart,['Countrycountry rock'],2013,2000–present
5490,Thomas Rhett,90,It Goes Like This,It Goes Like This,['Country'],2013,2010–present
5491,Ace Hood,91,Bugatti,Bugatti,['Trap'],2013,2006–present 2011-present 2000–present
5492,Hunter Hayes,92,Wanted,Wanted,['Countrycountry pop'],2013,1993–present
5493,Lady Antebellum,93,Downtown,Downtown,['Country pop'],2013,2006–present
5494,Florida Georgia Line,94,Get Your Shine On,Get Your Shine On,['Country'],2013,2010
5495,will.i.am,95,#thatPower,#thatPower,['Electropopdance-pop'],2013,1988–present 2007–present
5496,Sara Bareilles,96,Brave,Brave,['Power pop'],2013,2002–present
5497,Passenger,97,Let Her Go,Let Her Go,"['Folk rock', 'soft rock']",2013,2003–present
5498,Randy Houser,98,"[""Runnin' Outta Moonlight""]",Runnin' Outta Moonlight,['Country'],2013,2004–present
5499,2 Chainz,99,"[""I'm Different""]",I'm Different,['Hardcore hip hop'],2013,1997–present
5500,Paramore,100,Still Into You,Still Into You,"['Power pop', 'pop rock', 'pop punk', 'new wave', 'alternative rock']",2013,2004–present
5501,Pharrell Williams,1,Happy,Happy,['Soulneo soul'],2014,1990–present
5502,Katy Perry,2,Dark Horse,Dark Horse,['Traphip hoppop rapelectropop'],2014,2001–present 1987–present
5503,John Legend,3,All of Me,All of Me,['R&Bsoulpop'],2014,1997–present
5504,Iggy Azalea,4,Fancy,Fancy,"['Electro-hop', 'electropop', 'pop rap']",2014,2011–present 2008–present
5505,OneRepublic,5,Counting Stars,Counting Stars,"['Folk-pop', 'pop rock', 'dance-pop']",2014,2002–present
5506,Jason Derulo,6,Talk Dirty,Talk Dirty,"['R&B', 'pop-rap']",2014,2006–present 1997–present
5507,Magic!,7,Rude,Rude,['Reggae fusion'],2014,2012 2012
5508,Meghan Trainor,8,All About That Bass,All About That Bass,"['Bubblegum pop', 'doo-wop', 'hip hop']",2014,2009–present
5509,Ariana Grande,9,Problem,Problem,"['Dance-pop', 'R&B']",2014,2008–present 2011–present
5510,Sam Smith,10,Stay with Me,Stay with Me,['Soul'],2014,2008–present
5511,Pitbull,11,Timber,Timber,"['Dance-pop', 'hip hop', 'folktronica']",2014,2000–present 2005–present
5512,Bastille,12,Pompeii,Pompeii,"['Alternative rock', 'synth-rock', 'power pop']",2014,2010–present
5513,Taylor Swift,13,Shake It Off,Shake It Off,['Dance-pop'],2014,2004–present
5514,Nico & Vinz,14,Am I Wrong,Am I Wrong,['Popafrobeat'],2014,2010–present
5515,DJ Snake,15,Turn Down for What,Turn Down for What,['EDM trap'],2014,2000–present 1991–present
5516,Eminem,16,The Monster,The Monster,['Hip hoppop'],2014,1988–present 2003–present
5517,A Great Big World,17,Say Something,Say Something,['Pop'],2014,2011–present 1993–present
5518,Lorde,18,Team,Team,['Alternative popelectro hop'],2014,2009–present
5519,Passenger,19,Let Her Go,Let Her Go,"['Folk rock', 'soft rock']",2014,2003–present
5520,Lorde,20,Royals,Royals,"['Art pop', 'electropop']",2014,2009–present
5521,Idina Menzel,21,Let It Go,Let It Go,['Show tune'],2014,1995–present
5522,Avicii,22,Wake Me Up,Wake Me Up,"['Folktronica', 'country', 'house']",2014,2006–2018
5523,Imagine Dragons,23,Demons,Demons,['Pop rock'],2014,2008–present
5524,One Direction,24,Story of My Life,Story of My Life,['Folktronica'],2014,2010–2016
5525,Sia,25,Chandelier,Chandelier,['Electropop'],2014,1995–present
5526,Iggy Azalea,26,Black Widow,Black Widow,['Trap'],2014,2011–present 2008–present
5527,Jessie J,27,Bang Bang,Bang Bang,['Pop'],2014,2005–present 2008–present 2004–present
5528,Disclosure,28,Latch,Latch,['Dance-pop'],2014,2010–present 2008–present
5529,Maroon 5,29,Maps,Maps,"['Dance-pop', 'pop rock']",2014,1994–present
5530,Chris Brown,30,Loyal,Loyal,['Hip hop'],2014,2002–present 1995–present 2002–present 1983–present 2004–present
5531,American Authors,31,Best Day of My Life,Best Day of My Life,['Pop rock'],2014,2006–present
5532,Tove Lo,32,Habits (Stay High),Habits (Stay High),['Popelectropop'],2014,2006–present
5533,Calvin Harris,33,Summer,Summer,"['Dance-pop', 'EDM']",2014,2002–present
5534,Charli XCX,34,Boom Clap,Boom Clap,['Electropopsynth-pop'],2014,2008–present
5535,Beyoncé,35,Drunk in Love,Drunk in Love,"['Hip hop', 'trap', 'R&B']",2014,1997–present 1986–present
5536,Nicki Minaj,36,Anaconda,Anaconda,"['Hip house', 'dirty rap', 'miami bass']",2014,2004–present
5537,Ariana Grande,37,Break Free,Break Free,"['Electro house', 'synth-pop', 'EDM']",2014,2008–present 2002–present
5538,Enrique Iglesias,38,Bailando,Bailando,['Latin popflamencodance'],2014,1995–present 1990–present 2000–present
5539,Ellie Goulding,39,Burn,Burn,"['Electropop', 'synth-pop']",2014,2009–present
5540,Jason Derulo,40,Wiggle,Wiggle,['Dance-poppop-raptrap'],2014,2006–present 1992–present
5541,Clean Bandit,41,Rather Be,Rather Be,"['Classical crossover', 'house', 'dance-pop', 'Euro house', 'deep house']",2014,2008–present 2013–present
5542,Jeremih,42,t Tell ,Don't Tell 'Em,['Electro-R&B'],2014,2008–present 2008–present
5543,Kid Ink,43,Show Me,Show Me,['Hip hopR&Bhyphy'],2014,2009–present 2002–present
5544,Miley Cyrus,44,Wrecking Ball,Wrecking Ball,['Pop'],2014,2001–present
5545,Justin Timberlake,45,Not a Bad Thing,Not a Bad Thing,"['Pop', 'R&B', 'soul']",2014,1992–present
5546,Katy Perry,46,Roar,Roar,['Power pop'],2014,2001–present
5547,Paramore,47,"[""Ain't It Fun""]",Ain't It Fun,"['Pop rock', 'funk rock', 'new wave', 'alternative rock', 'new jack swing']",2014,2004–present
5548,Aloe Blacc,48,The Man,The Man,"['Soul', 'R&B']",2014,1995–present
5549,Florida Georgia Line,49,This Is How We Roll,This Is How We Roll,['Country rap'],2014,2010 1996–present
5550,MKTO,50,Classic,Classic,"['Funk', 'pop-rap']",2014,2010–present
5551,Coldplay,51,A Sky Full of Stars,A Sky Full of Stars,"['Progressive house', 'alternative rock']",2014,1997–present
5552,Ed Sheeran,52,"[""Don't""]",Don't,"['R&B', 'hip-hop']",2014,2004–present
5553,Trey Songz,53,Na Na,Na Na,['Hip hop soulR&B'],2014,2003–present
5554,Bobby Shmurda,54,Hot Boy,Hot Boy,['Gangsta raptrapdrill'],2014,2013–present
5555,Drake,55,"[""Hold On, We're Going Home""]","Hold On, We're Going Home","['R&B', 'synth-pop', 'disco']",2014,2001–present 2011–present
5556,Ed Sheeran,56,Sing,Sing,['R&B'],2014,2004–present
5557,Imagine Dragons,57,Radioactive,Radioactive,"['Electronic rock', 'alternative rock']",2014,2008–present
5558,YG,58,My Hitta,My Hitta,['Hip hop'],2014,2008–present 1997–present 2011–present
5559,Echosmith,59,Cool Kids,Cool Kids,['Indie poppop rock'],2014,2009–present
5560,Avicii,60,Hey Brother,Hey Brother,['Progressive housedance-popfolktronicacountry popbluegrass'],2014,2006–2018
5561,Jason Derulo,61,Trumpets,Trumpets,['Pop'],2014,2006–present
5562,Maroon 5,62,Animals,Animals,[],2014,1994–present
5563,Jason Aldean,63,"[""Burnin' It Down""]",Burnin' It Down,['Country trapR&Bcountry pop'],2014,1998–present
5564,Luke Bryan,64,Play It Again,Play It Again,['Country pop'],2014,1996–present
5565,Tinashe,65,2 On,2 On,['R&B'],2014,2000–present 2007–present
5566,Florida Georgia Line,66,Dirt,Dirt,['Country'],2014,2010
5567,OneRepublic,67,Love Runs Out,Love Runs Out,"['Dance-pop', 'pop rock']",2014,2002–present
5568,Brantley Gilbert,68,Bottoms Up,Bottoms Up,['Country rock'],2014,2005–present
5569,Becky G,69,Shower,Shower,['Teen poppop-rap'],2014,2008–present
5570,Rixton,70,Me and My Broken Heart,Me and My Broken Heart,['Pop'],2014,2012–2022
5571,Martin Garrix,71,Animals,Animals,['Big room house'],2014,2012–present
5572,Rich Gang,72,Lifestyle,Lifestyle,['Hip hop'],2014,2013–present 2010–present 2011–present
5573,Kenny Chesney,73,American Kids,American Kids,['Country'],2014,1988–present
5574,Sara Bareilles,74,Brave,Brave,['Power pop'],2014,2002–present
5575,The Neighbourhood,75,Sweater Weather,Sweater Weather,"['Indie rock', 'alternative rock']",2014,2011–2022
5576,Sam Hunt,76,Leave the Night On,Leave the Night On,['Country'],2014,2008–present
5577,Chris Brown,77,New Flame,New Flame,['R&B'],2014,2002–present 1993–present 2000–present
5578,Michael Jackson,78,Love Never Felt So Good,Love Never Felt So Good,"['Disco', 'soul']",2014,1964–2009 1992–present
5579,Dierks Bentley,79,Drunk on a Plane,Drunk on a Plane,['Country'],2014,2001–present
5580,Katy Perry,80,Birthday,Birthday,['Disco'],2014,2001–present
5581,Lady Antebellum,81,Bartender,Bartender,['Country poppop rock'],2014,2006–present
5582,Naughty Boy,82,La La La,La La La,['UK garage'],2014,2005–present 2008–present
5583,Robin Thicke,83,Blurred Lines,Blurred Lines,['R&Bpopfunk'],2014,1994–present 1999–present 1990–present
5584,Lady Gaga,84,Do What U Want,Do What U Want,"['Synth-pop', 'electropop', 'R&B']",2014,2001–present 1989–2019
5585,Shakira,85,"[""Can't Remember to Forget You""]",Can't Remember to Forget You,"['New wave', 'reggae rock', 'pop rock']",2014,1990–present 2003–present
5586,5 Seconds of Summer,86,Amnesia,Amnesia,['Pop rock'],2014,2011–present
5587,T.I.,87,No Mediocre,No Mediocre,['Hip hop'],2014,1999–present 2011–present
5588,KONGOS,88,Come with Me Now,Come with Me Now,"['Alternative rock', 'kwaito']",2014,2003–present
5589,Lil Wayne,89,Believe Me,Believe Me,['Hip hop'],2014,1995–present 2001–present
5590,Mike WiLL Made-It,90,23,23,['Hip hop'],2014,2005–present 2001–present 2005–present 1987–present
5591,Jake Owen,91,"[""Beachin'""]",Beachin',['Country'],2014,2005–present
5592,Macklemore & Ryan Lewis,92,White Walls,White Walls,['Hip hop'],2014,2009–2016 2007–present 2013–present
5593,5 Seconds of Summer,93,She Looks So Perfect,She Looks So Perfect,"['Pop punk', 'power pop', 'pop rock']",2014,2011–present
5594,Zedd,94,Stay the Night,Stay the Night,['Electro house'],2014,2002–present 2003–present
5595,Beyoncé,95,Partition,Partition,"['R&B', 'pop', 'hip hop']",2014,1997–present
5596,ScHoolboy Q,96,Studio,Studio,"['Hip hop', 'dirty rap', 'R&B']",2014,2007–present 2001–present
